feature,level,n,churn_count,churn_rate,wilson95_low,wilson95_high,risk_ratio_vs_overall,rate_diff
payment_method,Electronic check,2365,1071,0.4528541226215645,0.4328852117107511,0.47297594283396105,1.7065016509489985,0.1874842518278686
contract,Month-to-month,3875,1655,0.4270967741935484,0.4116019532373783,0.4427359963802429,1.609439583009717,0.16172690339985252
internet_service,Fiber optic,3096,1297,0.4189276485788114,0.40165930022138335,0.43639693372840666,1.5786556602143222,0.15355777778511548
online_security,否,3498,1461,0.4176672384219554,0.4014230010371602,0.4340921110050686,1.5739060247222214,0.15229736762825952
senior,是,1142,476,0.4168126094570928,0.3885431454779244,0.44563984856773625,1.570685504765278,0.15144273866339691
tech_support,否,3473,1446,0.4163547365390153,0.40006131059360706,0.43283299681692733,1.5689600906603982,0.15098486574531939
online_backup,否,3088,1233,0.39928756476683935,0.38214926466734017,0.4166761252227203,1.5046454353412784,0.13391769397314346
device_protection,否,3095,1211,0.3912762520193861,0.3742274511176783,0.40859461030649047,1.474456202767542,0.1259063812256902
streaming_movies,否,2785,938,0.33680430879712747,0.3194870039813821,0.35457119781242474,1.2691882005661683,0.07143443800343158
paperless_billing,是,4171,1400,0.33565092304003835,0.3214771559562889,0.350127140033605,1.264841867828245,0.07028105224634246
streaming_tv,否,2810,942,0.33523131672597867,0.3180124245549669,0.3529000935980301,1.2632606547357237,0.06986144593228277
partner,否,3641,1200,0.32957978577313923,0.31449805858775837,0.34502073968624625,1.241963847619165,0.06420991497944334
dependents,否,4933,1543,0.3127914048246503,0.30000337685863687,0.3258707745788272,1.1786997668164856,0.04742153403095439
streaming_tv,是,2707,814,0.30070188400443293,0.28371982788840805,0.31824877987023187,1.133142519552285,0.035332013210737034
streaming_movies,是,2732,818,0.29941434846266474,0.2825316192064364,0.31686037170504017,1.1282906667857397,0.03404447766896884
multiple_lines,是,2971,850,0.286098956580276,0.27013254863296193,0.3026177919838931,1.0781139385740417,0.020729085786580115
gender,女,3488,939,0.26920871559633025,0.25474875063294894,0.28417647865173096,1.014466016021912,0.003838844802634356
phone_service,是,6361,1699,0.2670963684955196,0.256366473090223,0.27810739885614943,1.0065060049833838,0.0017264977018237038
gender,男,3555,930,0.2616033755274262,0.2474186405748546,0.27630276718864877,0.9858066205669676,-0.0037664952662697093
multiple_lines,否,3390,849,0.2504424778761062,0.23614552726183655,0.26530437234898874,0.9437487274913942,-0.01492739291758971
phone_service,否,682,170,0.24926686217008798,0.21826568241523392,0.2830767989972054,0.9393186250743336,-0.016103008623607917
multiple_lines,未开通电话服务,682,170,0.24926686217008798,0.21826568241523392,0.2830767989972054,0.9393186250743336,-0.016103008623607917
senior,否,5901,1393,0.23606168446026096,0.22540059971661536,0.24706618508642259,0.8895572197183615,-0.029308186333434932
device_protection,是,2422,545,0.2250206440957886,0.20883260063035944,0.24207957866451393,0.8479509878901225,-0.0403492266979073
online_backup,是,2429,523,0.21531494442157267,0.1994249016723938,0.23210402308113243,0.8113767541793131,-0.05005492637212322
partner,是,3402,669,0.1966490299823633,0.183638235413106,0.21034412549376955,0.7410375164075894,-0.06872084081133259
payment_method,Mailed check,1612,308,0.19106699751861042,0.17261845344358442,0.210984439920149,0.7200026022062991,-0.07430287327508547
internet_service,DSL,2421,459,0.1895910780669145,0.17447354300159237,0.20569211915638871,0.7144408575844188,-0.0757787927267814
payment_method,Bank transfer (automatic),1544,258,0.16709844559585493,0.14932106299335554,0.1865282294895859,0.629681301408029,-0.09827142519784096
paperless_billing,否,2872,469,0.1633008356545961,0.15023344126102844,0.17726773441467042,0.6153706717577957,-0.10206903513909979
dependents,是,2110,326,0.15450236966824646,0.13970982728781553,0.17055064947782902,0.5822151897129265,-0.11086750112544944
payment_method,Credit card (automatic),1522,232,0.15243101182654403,0.13524977657358542,0.1713623266145686,0.5744096395368377,-0.11293885896715186
tech_support,是,2044,310,0.15166340508806261,0.136767628085992,0.16786604173918604,0.5715170476378946,-0.11370646570563328
online_security,是,2019,295,0.14611193660227836,0.13137677353121305,0.16219119554081726,0.5505973084482859,-0.11925793419141753
contract,One year,1473,166,0.11269517990495587,0.09754355753104996,0.12986166380453906,0.4246720984861445,-0.15267469088874003
internet_service,无,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
online_security,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
online_backup,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
device_protection,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
tech_support,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
streaming_tv,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
streaming_movies,未开通互联网服务,1526,113,0.07404980340760157,0.06195443778374668,0.08828430590795033,0.27904374820745736,-0.1913200673860943
contract,Two year,1695,48,0.02831858407079646,0.02142533413217164,0.03734498743156174,0.10671363703082902,-0.23705128672289943
