repeat,fold,n_train,n_test,roc_auc,average_precision,brier,log_loss
1,1,5634,1409,0.8454312950476633,0.6493345117237149,0.13682585169282394,0.4179211324729164
1,2,5634,1409,0.8413805574930894,0.6453886127412318,0.1381945150033695,0.4230867824109572
1,3,5634,1409,0.8520214937094732,0.6611751766987932,0.13323803668307976,0.4117596922934599
1,4,5635,1408,0.8162204867182137,0.5991562051173438,0.14731620762729578,0.44740410051927754
1,5,5635,1408,0.8279693625296084,0.6382298853165559,0.1431794205271662,0.4352442829927654
2,1,5634,1409,0.8296507272210598,0.6217896624576968,0.14215182834357673,0.4344036886829238
2,2,5634,1409,0.8355421219871347,0.6389127556031556,0.1393005352153672,0.42692175092093454
2,3,5634,1409,0.8365431811723372,0.6396510998115025,0.14059628654101186,0.4259632912006077
2,4,5635,1408,0.8280309800417038,0.6146185751220482,0.14216458939323504,0.4381255095392646
2,5,5635,1408,0.8498006288852802,0.6676372262628427,0.135244518596909,0.4125885903847733
3,1,5634,1409,0.8495039913198482,0.651174277363394,0.13413981392178567,0.4148142733226736
3,2,5634,1409,0.819321088119042,0.5902003976134715,0.1471901605648058,0.44276961646511426
3,3,5634,1409,0.8330633702756465,0.6471106801089255,0.14060633021594077,0.43028794540679977
3,4,5635,1408,0.8340171737187706,0.6406666480636961,0.13994120521433462,0.42985649072909615
3,5,5635,1408,0.842892458548392,0.6511192070167952,0.13770187003817866,0.42042571453636624
