repeat,fold,n_train,n_test,roc_auc,average_precision,brier,log_loss
1,1,5634,1409,0.8546345811051693,0.6591156124170651,0.13213836437269094,0.40584525572733665
1,2,5634,1409,0.8454777958614277,0.6576502119710824,0.13509107446689023,0.41803998166600004
1,3,5634,1409,0.8636286135007364,0.7019642121393456,0.1276132262832204,0.3984637895977395
1,4,5635,1408,0.8249770110476486,0.6201129783049253,0.14355197264450512,0.43917183957178074
1,5,5635,1408,0.8364471601899068,0.6446840552496295,0.13946911892035335,0.4255893502053528
2,1,5634,1409,0.8399493657805678,0.639029412492307,0.137303152449238,0.42410614437933003
2,2,5634,1409,0.8389599317988065,0.6431892444834271,0.13817120032530347,0.424774415072625
2,3,5634,1409,0.8498566224908937,0.666568443230454,0.13448611812555056,0.411557890076699
2,4,5635,1408,0.8337335353770836,0.6147358051785433,0.1398142720705278,0.4320684209160807
2,5,5635,1408,0.8635717167120056,0.7166613213865732,0.12838638858894072,0.3961721627437893
3,1,5634,1409,0.8533312666304993,0.6621338222091098,0.13195765610648236,0.4104637815065646
3,2,5634,1409,0.8286922937818079,0.6103163235712842,0.14311603393459318,0.4345277570455325
3,3,5634,1409,0.847653000594177,0.6787159930366227,0.13398117508571858,0.4132853038071985
3,4,5635,1408,0.842821618681276,0.6586731168955944,0.13571362369548814,0.42118165813744374
3,5,5635,1408,0.8524873550615957,0.6711051087934875,0.1332138850949793,0.4095857269135912
