feature,levels,chi2,p_value,dof,cramers_v
contract,3,1184.5965720837926,5.863038300673391e-258,2,0.4097692940591879
online_security,3,849.9989679615962,2.6611496351768565e-185,2,0.3469914269801959
tech_support,3,828.1970684587393,1.4430840279999813e-180,2,0.3425018376531092
internet_service,3,732.309589667794,9.571788222840544e-160,2,0.3220138660877818
payment_method,4,648.1423274814,3.6823546520097993e-140,3,0.3026556465052365
online_backup,3,601.8127901134089,2.0797592160865457e-131,2,0.29182931389035777
device_protection,3,558.419369407389,5.505219496457244e-122,2,0.28107496472294224
streaming_movies,3,375.66147934526555,2.667756755723757e-82,2,0.2303351167003881
streaming_tv,3,374.2039433109813,5.528994485739183e-82,2,0.22988544496122446
paperless_billing,2,258.27764906707307,4.073354668665985e-58,1,0.19112700979246233
dependents,2,189.12924940423474,4.9249216612154196e-43,1,0.16343653762693722
senior,2,159.42630036838742,1.510066805092378e-36,1,0.14998043242301126
partner,2,158.7333820309922,2.1399113440759935e-36,1,0.14965208362927895
multiple_lines,3,11.330441483197559,0.0034643829548773046,2,0.03639700452670124
phone_service,2,0.9150329892546948,0.3387825358066928,1,0.0
gender,2,0.4840828822091383,0.48657873605618596,1,0.0
