feature,coefficient,odds_ratio,direction
cat__internet_service_Fiber optic,0.938126148407564,2.555188884722637,提高流失风险
num__total_charges,0.6888196878272221,1.9913637147431749,提高流失风险
cat__paperless_billing_是,0.3414726233930137,1.4070180733979702,提高流失风险
cat__payment_method_Electronic check,0.30439745869281587,1.3558078266195415,提高流失风险
cat__multiple_lines_是,0.28467653639894996,1.329331968065455,提高流失风险
cat__streaming_movies_是,0.2777168441543973,1.3201123467547866,提高流失风险
cat__streaming_tv_是,0.2671370352043864,1.3062194321135507,提高流失风险
cat__senior_是,0.2144181864598846,1.2391407383368045,提高流失风险
cat__partner_是,-0.0029547630038177708,0.997049598012073,降低流失风险
cat__device_protection_是,-0.014940065692532794,0.9851709833742965,降低流失风险
cat__gender_男,-0.023584064638372985,0.9766918659691586,降低流失风险
cat__payment_method_Mailed check,-0.05647406936040047,0.945090990991287,降低流失风险
cat__multiple_lines_未开通电话服务,-0.06733084281285792,0.9348858499019662,降低流失风险
cat__payment_method_Credit card (automatic),-0.09048680595024498,0.9134863864062748,降低流失风险
cat__online_backup_是,-0.1345866726185322,0.8740771170408482,降低流失风险
cat__online_backup_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__tech_support_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__streaming_tv_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__streaming_movies_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__online_security_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__internet_service_无,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__device_protection_未开通互联网服务,-0.14004961561853235,0.8693151027222664,降低流失风险
cat__dependents_是,-0.15287669774389823,0.8582355376656539,降低流失风险
num__monthly_charges,-0.23217520400815744,0.79280720813723,降低流失风险
cat__tech_support_是,-0.3431671210427182,0.7095196259916879,降低流失风险
cat__online_security_是,-0.3678099959963163,0.6922486992183025,降低流失风险
cat__phone_service_是,-0.5314839447569852,0.587732160180372,降低流失风险
cat__contract_One year,-0.6552246533853399,0.5193253812761165,降低流失风险
cat__contract_Two year,-1.339604837244215,0.26194916068307805,降低流失风险
num__tenure_months,-1.4309306363023895,0.23908631627189436,降低流失风险
