strategy,selected_count,selected_rate,observed_churn_rate_in_selected,expected_avoided_loss,intervention_cost,expected_net_benefit,assumption,success_rate,loss_value,threshold
"q=0.25,L=1500",2103,0.2985943489990061,0.5896338563956253,468791.35506042326,315450.0,153341.35506042326,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.25,1500.0,0.4
"q=0.25,L=2000",2658,0.3773959960244214,0.5376222723852521,721636.2536774569,398700.0,322936.2536774569,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.25,2000.0,0.3
"q=0.25,L=2500",3098,0.43986937384637226,0.49903163331181405,976150.6519838357,464700.0,511450.65198383573,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.25,2500.0,0.24
"q=0.30,L=1500",2456,0.3487150362061621,0.5557817589576547,620660.0089174536,368400.0,252260.00891745358,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.3,1500.0,0.3333333333333333
"q=0.30,L=2000",3023,0.42922050262672157,0.5057889513728084,926069.280450183,453450.0,472619.28045018297,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.3,2000.0,0.25
"q=0.30,L=2500",3422,0.4858724975152634,0.4710695499707773,1224402.6013564505,513300.0,711102.6013564505,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.3,2500.0,0.2
"q=0.35,L=1500",2753,0.390884566235979,0.5299673083908464,772308.1886759705,412950.0,359358.18867597054,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.35,1500.0,0.2857142857142857
"q=0.35,L=2000",3286,0.46656254437029676,0.48234936092513697,1123084.6276786425,492900.0,630184.6276786425,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.35,2000.0,0.21428571428571427
"q=0.35,L=2500",3734,0.5301718017890104,0.4507230851633637,1479065.7788217582,560100.0,918965.7788217582,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.35,2500.0,0.17142857142857143
"q=0.40,L=1500",3023,0.42922050262672157,0.5057889513728084,926069.280450183,453450.0,472619.28045018297,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.4,1500.0,0.25
"q=0.40,L=2000",3536,0.5020587817691324,0.4626696832579186,1323737.0965528763,530400.0,793337.0965528763,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.4,2000.0,0.1875
"q=0.40,L=2500",3905,0.554451228169814,0.4381562099871959,1717890.675970933,585750.0,1132140.675970933,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.4,2500.0,0.15
"q=0.45,L=1500",3222,0.4574755075961948,0.489447548106766,1073559.4333601592,483300.0,590259.4333601592,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.45,1500.0,0.2222222222222222
"q=0.45,L=2000",3773,0.5357092148232288,0.4487145507553671,1527245.3901149696,565950.0,961295.3901149696,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.45,2000.0,0.16666666666666666
"q=0.45,L=2500",4047,0.5746130910123527,0.4255003706449222,1955160.7705970611,607050.0,1348110.7705970611,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift,0.45,2500.0,0.13333333333333333
